time,1m_open,1m_high,1m_low,1m_close,5m_open,5m_high,5m_low,5m_close,15m_open,15m_high,15m_low,15m_close
2026-04-08 01:22:00,2231.13,2233.0,2231.13,2232.68,2233.85,2235.03,2229.33,2232.42,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:23:00,2232.65,2233.69,2232.65,2233.69,2233.85,2235.03,2229.33,2232.42,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:24:00,2233.69,2234.16,2232.41,2232.42,2233.85,2235.03,2229.33,2232.42,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:25:00,2232.67,2233.61,2232.03,2233.57,2232.67,2233.61,2230.75,2231.4,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:26:00,2233.57,2233.57,2231.98,2233.47,2232.67,2233.61,2230.75,2231.4,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:27:00,2233.56,2233.56,2232.18,2232.21,2232.67,2233.61,2230.75,2231.4,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:28:00,2232.25,2232.38,2230.75,2231.12,2232.67,2233.61,2230.75,2231.4,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:29:00,2231.19,2231.6,2231.19,2231.4,2232.67,2233.61,2230.75,2231.4,2240.21,2240.21,2229.33,2231.4
2026-04-08 01:30:00,2231.4,2231.4,2230.51,2231.38,2231.4,2233.59,2230.51,2233.3,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:31:00,2231.19,2232.46,2231.19,2231.93,2231.4,2233.59,2230.51,2233.3,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:32:00,2232.15,2233.59,2232.0,2232.0,2231.4,2233.59,2230.51,2233.3,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:33:00,2231.99,2232.52,2231.48,2232.17,2231.4,2233.59,2230.51,2233.3,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:34:00,2232.17,2233.54,2232.17,2233.3,2231.4,2233.59,2230.51,2233.3,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:35:00,2233.29,2234.9,2232.77,2234.76,2233.29,2238.35,2232.77,2236.28,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:36:00,2234.97,2235.17,2233.55,2234.02,2233.29,2238.35,2232.77,2236.28,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:37:00,2234.0,2235.59,2233.6,2235.57,2233.29,2238.35,2232.77,2236.28,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:38:00,2235.63,2237.43,2235.63,2237.16,2233.29,2238.35,2232.77,2236.28,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:39:00,2237.22,2238.35,2236.28,2236.28,2233.29,2238.35,2232.77,2236.28,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:40:00,2236.15,2237.66,2235.28,2237.65,2236.15,2238.23,2235.19,2235.65,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:41:00,2237.64,2238.23,2236.81,2237.49,2236.15,2238.23,2235.19,2235.65,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:42:00,2237.5,2237.6,2236.2,2236.2,2236.15,2238.23,2235.19,2235.65,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:43:00,2236.2,2236.24,2235.54,2235.85,2236.15,2238.23,2235.19,2235.65,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:44:00,2235.83,2235.98,2235.19,2235.65,2236.15,2238.23,2235.19,2235.65,2231.4,2238.35,2230.51,2235.65
2026-04-08 01:45:00,2235.65,2236.11,2235.05,2235.5,2235.65,2238.65,2235.05,2236.02,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:46:00,2235.49,2237.38,2235.24,2237.16,2235.65,2238.65,2235.05,2236.02,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:47:00,2237.16,2238.65,2237.16,2238.0,2235.65,2238.65,2235.05,2236.02,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:48:00,2237.88,2237.88,2236.55,2236.96,2235.65,2238.65,2235.05,2236.02,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:49:00,2236.95,2237.18,2236.02,2236.02,2235.65,2238.65,2235.05,2236.02,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:50:00,2236.0,2236.47,2235.55,2235.55,2236.0,2238.61,2234.13,2234.99,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:51:00,2235.55,2236.46,2235.16,2235.98,2236.0,2238.61,2234.13,2234.99,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:52:00,2236.27,2238.61,2236.27,2238.25,2236.0,2238.61,2234.13,2234.99,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:53:00,2238.19,2238.19,2236.32,2236.32,2236.0,2238.61,2234.13,2234.99,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:54:00,2236.31,2236.31,2234.13,2234.99,2236.0,2238.61,2234.13,2234.99,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:55:00,2235.1,2235.81,2234.39,2234.62,2235.1,2236.16,2232.62,2233.44,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:56:00,2234.58,2236.16,2234.58,2234.83,2235.1,2236.16,2232.62,2233.44,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:57:00,2234.89,2235.09,2233.68,2233.68,2235.1,2236.16,2232.62,2233.44,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:58:00,2233.69,2234.26,2233.5,2234.12,2235.1,2236.16,2232.62,2233.44,2235.65,2238.65,2232.62,2233.44
2026-04-08 01:59:00,2234.14,2234.63,2232.62,2233.44,2235.1,2236.16,2232.62,2233.44,2235.65,2238.65,2232.62,2233.44
2026-04-08 02:00:00,2233.6,2236.23,2233.4,2235.98,2233.6,2237.79,2231.79,2235.4,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:01:00,2235.73,2237.35,2235.43,2236.98,2233.6,2237.79,2231.79,2235.4,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:02:00,2236.98,2237.79,2235.58,2235.58,2233.6,2237.79,2231.79,2235.4,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:03:00,2235.53,2236.51,2235.17,2235.55,2233.6,2237.79,2231.79,2235.4,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:04:00,2235.44,2235.53,2231.79,2235.4,2233.6,2237.79,2231.79,2235.4,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:05:00,2235.7,2236.66,2235.14,2236.29,2235.7,2244.47,2235.14,2243.89,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:06:00,2236.34,2239.76,2236.34,2239.16,2235.7,2244.47,2235.14,2243.89,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:07:00,2239.0,2244.47,2239.0,2242.82,2235.7,2244.47,2235.14,2243.89,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:08:00,2242.82,2244.37,2242.17,2244.37,2235.7,2244.47,2235.14,2243.89,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:09:00,2244.14,2244.34,2242.47,2243.89,2235.7,2244.47,2235.14,2243.89,2233.6,2246.69,2231.79,2244.08
2026-04-08 02:10:00,2243.98,2244.49,2242.81,2243.76,2243.98,2246.69,2242.03,2244.08,2233.6,2246.69,2231.79,2244.08
